stringsfile version 1
585
str_no_string NO_STRING!
str_empty_string _
str_yes Yes.
str_no No.
str_credits_0 Persistent_World_Module^Copyright_2010_Steven_Schwartfeger_(Vornne)
str_credits_1 Mount&Blade:_Warband_Copyright_2008-2014_Taleworlds_Entertainment
str_credits_2 Game_design:^Armagan_Yavuz^Steve_Negus^Cem_Cimenbicer
str_credits_3 Programming:^Armagan_Yavuz^Cem_Cimenbicer^Serdar_Kocdemir^Ozan_Gumus^Mustafa_Korkmaz^^Additional_Programming:^Gokhan_Uras^M._Furkan_Yilmaz
str_credits_4 CG_Artists:^Ozgur_Saral^Mustafa_Ozturk^Pinar_Cekic^Ozan_Unlu^Yigit_Savtur^Umit_Singil
str_credits_5 Concept_Artist:^Ganbat_Badamkhand
str_credits_6 Writing:^Steve_Negus^Armagan_Yavuz^Ryan_A._Span
str_credits_7 Original_Music:^Jesse_Hopkins
str_credits_8 Voice_Talent:^Tassilo_Egloffstein
